Profiler Corrected Nitrate  - Depth Match,,,Profiler Corrected Nitrate - Temperature Match,ctd_depth,ctd_temperature_1,discrete_nitrate,,
10.78713,,,,9.638,13.1968,3.016511,,
14.638567,,,10.78713,20.238,8.9875,11.696032,,
21.10545,,,22.864473,40.226,8.0475,21.101774,,
25.356087,,,25.61444,60.422,8.4938,26.163154,,
29.893696,,,30.977407,99.679,7.8302,30.881086,,
31.037903,,,31.373554,119.891,7.5981,31.181773,,
31.517473,,,31.962046,140.684,7.4824,32.224146,,
32.35546,,,32.35546,180.139,7.3483,33.255805,,
,,,,199.795,7.3251,33.155072,,
,,,,219.52,7.2796,33.274607,,
