practical_salinity,Nitrate uMol L-1,time UTC,seawater_temperature °C,corr Nitrate umol L-1,depth (m),Date and Time,Date UTC,time UTC,Date Local,Time Local,,,
33.987793,29.84,2020-08-04T07:21:09Z,7.2264304,32.275375,194.24272,8/4/20 7:21,8/4/20,7:21:09,8/4/20 0:21,0:21:09,,,
33.9883,30.53,2020-08-04T07:21:10Z,7.2255054,32.14361,194.24527,8/4/20 7:21,8/4/20,7:21:10,8/4/20 0:21,0:21:10,,,
33.988323,30.06,2020-08-04T07:21:49Z,7.2260766,32.053997,194.25728,8/4/20 7:21,8/4/20,7:21:49,8/4/20 0:21,0:21:49,,,
33.988243,30.71,2020-08-04T07:21:50Z,7.2258534,32.20106,194.2557,8/4/20 7:21,8/4/20,7:21:50,8/4/20 0:21,0:21:50,,,
33.988594,30.44,2020-08-04T07:22:29Z,7.2242484,32.017357,193.01735,8/4/20 7:22,8/4/20,7:22:29,8/4/20 0:22,0:22:29,,,
33.98858,30.3,2020-08-04T07:22:30Z,7.2241344,32.13472,192.96782,8/4/20 7:22,8/4/20,7:22:30,8/4/20 0:22,0:22:30,,,
33.988552,30.85,2020-08-04T07:23:08Z,7.2257314,32.14004,191.07475,8/4/20 7:23,8/4/20,7:23:08,8/4/20 0:23,0:23:08,,,
33.988518,30.47,2020-08-04T07:23:09Z,7.2258105,31.968208,191.0257,8/4/20 7:23,8/4/20,7:23:09,8/4/20 0:23,0:23:09,,,
33.98774,30.44,2020-08-04T07:23:49Z,7.235824,31.898201,189.0828,8/4/20 7:23,8/4/20,7:23:49,8/4/20 0:23,0:23:49,,,
33.987682,30.35,2020-08-04T07:23:50Z,7.2357016,31.73539,189.0356,8/4/20 7:23,8/4/20,7:23:50,8/4/20 0:23,0:23:50,,,
33.9855,30.12,2020-08-04T07:24:29Z,7.29165,31.572746,187.10092,8/4/20 7:24,8/4/20,7:24:29,8/4/20 0:24,0:24:29,,,
33.984566,29.49,2020-08-04T07:24:30Z,7.293757,31.530457,187.05247,8/4/20 7:24,8/4/20,7:24:30,8/4/20 0:24,0:24:30,,,
33.98574,30.05,2020-08-04T07:25:09Z,7.333898,31.566635,185.16661,8/4/20 7:25,8/4/20,7:25:09,8/4/20 0:25,0:25:09,,,
33.985634,29.44,2020-08-04T07:25:10Z,7.3349223,31.41989,185.11896,8/4/20 7:25,8/4/20,7:25:10,8/4/20 0:25,0:25:10,,,
33.982346,29.57,2020-08-04T07:25:49Z,7.358401,31.413143,183.22179,8/4/20 7:25,8/4/20,7:25:49,8/4/20 0:25,0:25:49,,,
33.981693,30.16,2020-08-04T07:25:50Z,7.357568,31.573227,183.17276,8/4/20 7:25,8/4/20,7:25:50,8/4/20 0:25,0:25:50,,,
33.979584,30.17,2020-08-04T07:26:28Z,7.3790245,31.40991,181.2793,8/4/20 7:26,8/4/20,7:26:28,8/4/20 0:26,0:26:28,,,
33.979702,29.62,2020-08-04T07:26:29Z,7.3783665,31.405424,181.22476,8/4/20 7:26,8/4/20,7:26:29,8/4/20 0:26,0:26:29,,,
33.979546,29.42,2020-08-04T07:27:09Z,7.381979,31.210356,179.26442,8/4/20 7:27,8/4/20,7:27:09,8/4/20 0:27,0:27:09,,,
33.97947,30.08,2020-08-04T07:27:10Z,7.3822837,31.365976,179.21346,8/4/20 7:27,8/4/20,7:27:10,8/4/20 0:27,0:27:10,,,
33.978786,29.86,2020-08-04T07:27:50Z,7.3864737,31.139526,177.25511,8/4/20 7:27,8/4/20,7:27:50,8/4/20 0:27,0:27:50,,,
33.97878,30.08,2020-08-04T07:27:51Z,7.3866386,31.144304,177.20781,8/4/20 7:27,8/4/20,7:27:51,8/4/20 0:27,0:27:51,,,
33.97669,29.24,2020-08-04T07:28:30Z,7.407052,31.01699,175.30307,8/4/20 7:28,8/4/20,7:28:30,8/4/20 0:28,0:28:30,,,
33.976734,29.84,2020-08-04T07:28:31Z,7.406822,31.051773,175.25575,8/4/20 7:28,8/4/20,7:28:31,8/4/20 0:28,0:28:31,,,
33.97392,29.31,2020-08-04T07:29:10Z,7.441581,30.927889,173.36517,8/4/20 7:29,8/4/20,7:29:10,8/4/20 0:29,0:29:10,,,
33.974712,30.02,2020-08-04T07:29:11Z,7.441013,31.056046,173.31601,8/4/20 7:29,8/4/20,7:29:11,8/4/20 0:29,0:29:11,,,
33.97414,29.41,2020-08-04T07:29:50Z,7.4507246,31.10133,171.39436,8/4/20 7:29,8/4/20,7:29:50,8/4/20 0:29,0:29:50,,,
33.97538,28.96,2020-08-04T07:29:51Z,7.450522,31.019644,171.34625,8/4/20 7:29,8/4/20,7:29:51,8/4/20 0:29,0:29:51,,,
33.973026,29.71,2020-08-04T07:30:29Z,7.4652557,31.070137,169.47285,8/4/20 7:30,8/4/20,7:30:29,8/4/20 0:30,0:30:29,,,
33.972916,30.22,2020-08-04T07:30:30Z,7.465325,31.179209,169.42744,8/4/20 7:30,8/4/20,7:30:30,8/4/20 0:30,0:30:30,,,
33.969685,29.7,2020-08-04T07:31:10Z,7.5081105,31.01919,167.52997,8/4/20 7:31,8/4/20,7:31:10,8/4/20 0:31,0:31:10,,,
33.967575,29.45,2020-08-04T07:31:11Z,7.5131545,31.05472,167.48537,8/4/20 7:31,8/4/20,7:31:11,8/4/20 0:31,0:31:11,,,
33.966267,30.13,2020-08-04T07:31:12Z,7.51568,31.078669,167.4392,8/4/20 7:31,8/4/20,7:31:12,8/4/20 0:31,0:31:12,,,
33.96479,29.01,2020-08-04T07:31:52Z,7.521797,31.093401,165.54095,8/4/20 7:31,8/4/20,7:31:52,8/4/20 0:31,0:31:52,,,
33.96485,29.29,2020-08-04T07:31:53Z,7.5217366,31.095356,165.49342,8/4/20 7:31,8/4/20,7:31:53,8/4/20 0:31,0:31:53,,,
33.96476,29.47,2020-08-04T07:32:32Z,7.5240307,31.051212,163.67004,8/4/20 7:32,8/4/20,7:32:32,8/4/20 0:32,0:32:32,,,
33.964783,29.93,2020-08-04T07:32:33Z,7.5243773,31.070236,163.62206,8/4/20 7:32,8/4/20,7:32:33,8/4/20 0:32,0:32:33,,,
33.96269,29.86,2020-08-04T07:33:12Z,7.5380983,30.950474,161.79814,8/4/20 7:33,8/4/20,7:33:12,8/4/20 0:33,0:33:12,,,
33.962837,29.23,2020-08-04T07:33:13Z,7.538443,30.898909,161.7514,8/4/20 7:33,8/4/20,7:33:13,8/4/20 0:33,0:33:13,,,
33.958652,28.87,2020-08-04T07:33:51Z,7.5649867,30.999336,159.90897,8/4/20 7:33,8/4/20,7:33:51,8/4/20 0:33,0:33:51,,,
33.95874,29.75,2020-08-04T07:33:52Z,7.564694,31.015484,159.86314,8/4/20 7:33,8/4/20,7:33:52,8/4/20 0:33,0:33:52,,,
33.95951,30,2020-08-04T07:34:32Z,7.562333,30.951496,157.96558,8/4/20 7:34,8/4/20,7:34:32,8/4/20 0:34,0:34:32,,,
33.95973,28.67,2020-08-04T07:34:33Z,7.5630913,31.025654,157.91829,8/4/20 7:34,8/4/20,7:34:33,8/4/20 0:34,0:34:33,,,
33.959152,28.86,2020-08-04T07:34:34Z,7.5638943,31.217619,157.87126,8/4/20 7:34,8/4/20,7:34:34,8/4/20 0:34,0:34:34,,,
33.958183,29.89,2020-08-04T07:35:14Z,7.573353,30.934511,155.9871,8/4/20 7:35,8/4/20,7:35:14,8/4/20 0:35,0:35:14,,,
33.95805,29.78,2020-08-04T07:35:15Z,7.574218,31.104664,155.93826,8/4/20 7:35,8/4/20,7:35:15,8/4/20 0:35,0:35:15,,,
