time,surface_partial_pressure_of_carbon_dioxide_in_sea_water,surface_partial_pressure_of_carbon_dioxide_in_air
2015-10-13 17:58:00,359.2517932043,387.7448803356
2015-10-13 17:59:00,358.9783339502,387.7448803356
2015-10-13 18:58:00,343.1340849811,393.8715696755
2015-10-13 18:59:00,343.0291604984,393.8839239673
2015-10-13 19:59:00,341.5600446857,402.4399750508
2015-10-13 20:58:00,343.1880793768,403.2913039808
2015-10-13 20:59:00,343.0959320257,403.2930037358
2015-10-13 21:58:00,342.2212162067,401.9383630182
2015-10-13 21:59:00,342.0600481125,401.9365624081
2015-10-13 22:58:00,348.6357327905,404.0968884669
2015-10-13 22:59:00,348.5210338021,404.1010546724
2015-10-13 23:58:00,353.1070855803,406.4142095938
2015-10-13 23:59:00,352.9999383173,406.4187106757
2015-10-14 00:58:00,351.7547451623,405.9628957341
2015-10-14 00:59:00,351.5472026894,405.961907447
2015-10-14 01:58:00,353.3486174262,404.1589571695
2015-10-14 01:59:00,353.1779700222,404.1563712162
2015-10-14 02:58:00,356.2872211061,402.7629409726
2015-10-14 02:59:00,356.4030656304,402.7600659974
2015-10-14 03:58:00,343.6735250123,403.013887768
2015-10-14 03:59:00,343.5379348631,403.0138480442
2015-10-14 04:58:00,338.2451810387,403.5210546002
2015-10-14 04:59:00,338.1045830249,403.5221059157
2015-10-14 05:58:00,343.0594158648,405.1352205963
2015-10-14 05:59:00,343.0032691833,405.1383938475
2015-10-14 06:58:00,344.4059647175,406.0918668061
2015-10-14 06:59:00,344.3435418209,406.0939283672
2015-10-14 07:59:00,338.1507593826,405.4875820533
2015-10-14 08:58:00,344.5099309154,406.3465310667
2015-10-14 08:59:00,344.4298050827,406.3480645988
2015-10-14 09:58:00,345.9237062053,410.2915370053
2015-10-14 09:59:00,345.7925919072,410.3000175266
2015-10-14 10:58:00,346.6022043856,415.1857331103
2015-10-14 10:59:00,346.413983469,415.1949455847
2015-10-14 11:58:00,345.5274372378,417.7584012813
2015-10-14 11:59:00,345.3865346657,417.7643000697
2015-10-14 12:58:00,347.7095862633,419.4874067195
2015-10-14 12:59:00,347.6004194424,419.4907550722
2015-10-14 13:58:00,351.0534275023,420.7172788417
2015-10-14 14:58:00,364.8785124873,417.455171911
2015-10-14 15:58:00,358.1416509033,415.5943185191
2015-10-14 16:58:00,358.0988602407,415.1847429746
2015-10-14 17:58:00,353.7607773391,413.7142650279
2015-10-14 18:58:00,350.1715430271,410.3133105099
2015-10-14 19:59:00,342.1115051951,407.309575908
2015-10-14 20:58:00,345.0737519533,405.0975239818
2015-10-14 21:58:00,344.4339446775,402.8199140985
2015-10-14 22:58:00,340.3122515558,406.7576969821
2015-10-14 23:58:00,335.3655454122,411.5696063214
2015-10-15 00:58:00,331.7965464539,413.0842661231
2015-10-15 01:58:00,329.9165844231,411.704066461
2015-10-15 02:58:00,329.6389163034,411.4901358424
2015-10-15 03:58:00,329.6712894427,409.7299861861
2015-10-15 04:58:00,330.3855991447,407.0581469878
2015-10-15 05:58:00,332.7228835979,406.1930435114
2015-10-15 06:58:00,331.9687302958,407.2393613628
2015-10-15 07:59:00,328.7332188776,407.7955449327
2015-10-15 08:58:00,335.3916543301,409.4930791534
2015-10-15 09:58:00,336.8194889931,409.3347785402
2015-10-15 10:58:00,337.1208535516,408.1264708989
