time,surface_partial_pressure_of_carbon_dioxide_in_sea_water
2015-12-11 00:58:00,387.7862762837
2015-12-11 01:58:00,387.415631768
2015-12-11 02:58:00,387.2368889985
2015-12-11 03:58:00,386.6074512707
2015-12-11 04:58:00,386.5010828741
2015-12-11 05:58:00,386.1049359871
2015-12-11 06:58:00,386.2586115909
2015-12-11 07:58:00,385.9374400307
2015-12-11 08:58:00,381.5972907586
2015-12-11 09:58:00,386.1444506127
2015-12-11 10:58:00,386.6724408531
2015-12-11 11:58:00,386.6041615264
2015-12-11 12:58:00,386.4487074047
2015-12-11 13:58:00,386.5966979192
2015-12-11 14:58:00,386.7116265044
2015-12-11 15:58:00,386.455026455
2015-12-11 16:58:00,386.4977931299
2015-12-11 17:58:00,386.1014269266
2015-12-11 18:58:00,385.6029895551
2015-12-11 19:58:00,385.7339282287
2015-12-11 20:58:00,380.645050734
2015-12-11 21:58:00,385.8711311237
2015-12-11 22:58:00,386.5972153686
2015-12-11 23:58:00,386.4552423445
2015-12-12 00:58:00,386.7160231105
2015-12-12 01:58:00,387.1361097404
2015-12-12 02:58:00,386.8995017408
2015-12-12 03:58:00,387.0949913644
2015-12-12 04:58:00,386.9693711106
2015-12-12 05:58:00,386.964553006
2015-12-12 06:58:00,386.9512980782
2015-12-12 07:58:00,386.9955040162
2015-12-12 08:58:00,381.924596321
2015-12-12 09:58:00,387.0247964471
2015-12-12 10:58:00,387.3768539079
2015-12-12 11:58:00,387.269632234
2015-12-12 12:58:00,387.6076157579
2015-12-12 13:58:00,387.5402685254
2015-12-12 14:58:00,387.6885674535
2015-12-12 15:58:00,387.29843463
2015-12-12 16:58:00,387.3559983003
2015-12-12 17:58:00,386.8983845985
2015-12-12 18:58:00,386.9601289854
2015-12-12 19:58:00,386.6884920635
2015-12-12 20:58:00,381.621967267
2015-12-12 21:58:00,386.6740034816
2015-12-12 22:58:00,386.8334772596
2015-12-12 23:58:00,386.7159100255
2015-12-13 00:58:00,386.7763385147
2015-12-13 01:58:00,386.9725409162
2015-12-13 02:58:00,387.0780491817
2015-12-13 03:58:00,386.9780478109
2015-12-13 04:58:00,386.6510643693
2015-12-13 05:58:00,386.8844648683
2015-12-13 06:58:00,386.6498101543
2015-12-13 07:58:00,387.3370891247
2015-12-13 08:58:00,382.2093236834
2015-12-13 09:58:00,387.1337383831
2015-12-13 10:58:00,386.4493242317
2015-12-13 11:58:00,386.4760328426
2015-12-13 12:58:00,386.6728966198
2015-12-13 13:58:00,386.7897819174
2015-12-13 14:58:00,386.7732680867
2015-12-13 15:58:00,386.6801991666
2015-12-13 16:58:00,386.3958727417
2015-12-13 17:58:00,385.8394159333
2015-12-13 18:58:00,385.8790642048
2015-12-13 19:58:00,385.7314951887
2015-12-13 20:58:00,379.8931895441
2015-12-13 21:58:00,385.7370157908
2015-12-13 22:58:00,385.6431621296
2015-12-13 23:58:00,385.5320201771
2015-12-14 00:58:00,385.8846225019
2015-12-14 01:58:00,385.2384516271
2015-12-14 02:58:00,385.6605943471
2015-12-14 03:58:00,385.9399655948
2015-12-14 04:58:00,386.2584642377
2015-12-14 05:58:00,386.2824485292
2015-12-14 06:58:00,386.4712867012
2015-12-14 07:58:00,386.7989897744
2015-12-14 08:58:00,381.8848962189
2015-12-14 09:58:00,386.9744976286
2015-12-14 10:58:00,387.6909867862
2015-12-14 11:58:00,388.1582092826
2015-12-14 12:58:00,387.8498437371
2015-12-14 13:58:00,388.1091646791
2015-12-14 14:58:00,388.3783719878
2015-12-14 15:58:00,388.4217417825
2015-12-14 16:58:00,388.1685925378
2015-12-14 17:58:00,387.9620377224
2015-12-14 18:58:00,388.0386784823
2015-12-14 19:58:00,388.3138827206
2015-12-14 20:58:00,382.4520348439
2015-12-14 21:58:00,387.9210529923
2015-12-14 22:58:00,388.7310668366
2015-12-14 23:58:00,381.2251966993
2015-12-15 00:58:00,378.504547386
2015-12-15 01:58:00,378.0394974916
2015-12-15 02:58:00,379.313313869
2015-12-15 03:58:00,377.2006264221
2015-12-15 04:58:00,374.0175453025
2015-12-15 05:58:00,372.828885325
2015-12-15 06:58:00,372.7113215177
2015-12-15 07:58:00,373.3576637333
2015-12-15 08:58:00,368.7455519917
2015-12-15 09:58:00,380.1771664336
2015-12-15 10:58:00,381.2003694109
2015-12-15 11:58:00,380.9291574143
2015-12-15 12:58:00,380.872004962
2015-12-15 13:58:00,380.9639019108
2015-12-15 14:58:00,380.6180092935
2015-12-15 15:58:00,379.3803389807
2015-12-15 16:58:00,377.5535851358
2015-12-15 17:58:00,376.2133878883
2015-12-15 18:58:00,374.0894330674
2015-12-15 19:58:00,374.5239603038
2015-12-15 20:58:00,369.12579802
2015-12-15 21:58:00,374.9446226389
2015-12-15 22:58:00,374.5310435343
2015-12-15 23:58:00,375.343558955
2015-12-16 00:58:00,376.0608122927
2015-12-16 01:58:00,375.1956301231
2015-12-16 02:58:00,375.5284768484
2015-12-16 03:58:00,374.3358760315
2015-12-16 04:58:00,376.3382439619
2015-12-16 05:58:00,374.5765859309
2015-12-16 06:58:00,374.1235950051
2015-12-16 07:58:00,374.1269567124
2015-12-16 08:58:00,370.0502028676
2015-12-16 09:58:00,375.4378443951
2015-12-16 10:58:00,374.782602736
2015-12-16 11:58:00,374.2741864737
2015-12-16 12:58:00,374.6624037064
2015-12-16 13:58:00,374.7602530362
2015-12-16 14:58:00,374.0642768046
2015-12-16 15:57:00,374.4831297804
2015-12-16 15:58:00,374.3649649951
2015-12-16 16:57:00,374.3473044658
2015-12-16 16:58:00,374.3812800703
2015-12-16 17:57:00,373.8439735998
2015-12-16 17:58:00,373.8024341537
2015-12-16 18:57:00,372.2786053541
2015-12-16 18:58:00,372.1685876423
2015-12-16 19:57:00,371.9715951147
2015-12-16 19:58:00,371.8967916182
2015-12-16 20:58:00,366.5277435096
2015-12-16 21:57:00,371.6270201086
2015-12-16 21:58:00,371.5867875648
2015-12-16 22:57:00,373.5419750802
2015-12-16 22:58:00,373.5419662684
2015-12-16 23:57:00,375.0211571675
2015-12-16 23:58:00,375.0003304431
2015-12-17 00:57:00,376.0195071552
2015-12-17 00:58:00,375.9700089881
2015-12-17 01:57:00,377.1205588453
2015-12-17 01:58:00,377.0933171196
2015-12-17 02:57:00,379.2634468295
2015-12-17 02:58:00,379.2598868563
2015-12-17 03:57:00,379.6862509252
2015-12-17 03:58:00,379.5677540446
2015-12-17 04:57:00,379.689643474
2015-12-17 04:58:00,379.6102137746
2015-12-17 05:57:00,380.5114421416
2015-12-17 05:58:00,380.4985768919
2015-12-17 06:57:00,381.1619170984
2015-12-17 06:58:00,381.1433373868
2015-12-17 07:57:00,382.7122810264
2015-12-17 07:58:00,382.7129991893
2015-12-17 08:58:00,377.8051366272
2015-12-17 09:57:00,384.3033709598
2015-12-17 09:58:00,384.3418279229
2015-12-17 10:57:00,386.6065877128
2015-12-17 10:58:00,386.5347317684
2015-12-17 11:57:00,388.2628145818
2015-12-17 11:58:00,388.2564105953
2015-12-17 12:57:00,388.5186435973
2015-12-17 12:58:00,388.4646866519
2015-12-17 13:57:00,388.381044905
2015-12-17 13:58:00,388.5237742766
2015-12-17 14:57:00,388.6093942758
2015-12-17 14:58:00,388.5796015297
2015-12-17 15:57:00,389.0627827124
2015-12-17 15:58:00,389.0578275352
2015-12-17 16:57:00,388.9469528744
2015-12-17 16:58:00,388.9982523234
2015-12-17 17:57:00,389.3402109548
2015-12-17 17:58:00,389.3965221235
2015-12-17 18:57:00,389.7443765935
2015-12-17 18:58:00,389.7957171642
2015-12-17 19:57:00,390.528877786
2015-12-17 19:58:00,390.5371535488
2015-12-17 20:58:00,385.4281122351
2015-12-17 21:57:00,391.12979069
2015-12-17 21:58:00,391.223928777
2015-12-17 22:57:00,392.0534480632
2015-12-17 22:58:00,392.0468737149
2015-12-17 23:57:00,392.7009314088
2015-12-17 23:58:00,392.6696222962
2015-12-18 00:57:00,393.9535323629
2015-12-18 00:58:00,394.0458302492
2015-12-18 01:57:00,391.9280779669
2015-12-18 01:58:00,391.9742834526
2015-12-18 02:57:00,391.3626223374
2015-12-18 02:58:00,391.4038366642
2015-12-18 03:57:00,390.1331009951
2015-12-18 03:58:00,390.1413459166
2015-12-18 04:57:00,389.5721687639
2015-12-18 04:58:00,389.5721584834
2015-12-18 05:57:00,389.1903528251
2015-12-18 05:58:00,389.2051823752
2015-12-18 06:57:00,389.1411197467
2015-12-18 06:58:00,389.2069865943
2015-12-18 07:57:00,389.585903446
2015-12-18 07:58:00,389.6732564356
2015-12-18 08:58:00,384.0352482386
2015-12-18 09:57:00,390.4857307344
2015-12-18 09:58:00,390.3086242701
2015-12-18 10:57:00,389.7668393782
2015-12-18 10:58:00,389.7965344601
2015-12-18 11:57:00,390.6607862489
2015-12-18 11:58:00,390.7169329303
2015-12-18 12:57:00,390.950615285
2015-12-18 12:58:00,390.920392302
2015-12-18 13:57:00,390.5589146928
2015-12-18 13:58:00,390.6095053047
2015-12-18 14:57:00,391.0796477918
2015-12-18 14:58:00,391.1312176166
2015-12-18 15:57:00,392.2852593758
2015-12-18 15:58:00,392.3528435727
2015-12-18 16:57:00,392.5658771281
2015-12-18 16:58:00,392.5390636566
2015-12-18 17:57:00,392.3052522823
2015-12-18 17:58:00,392.3285899334
2015-12-18 18:57:00,391.8708826795
2015-12-18 18:58:00,391.9771033802
2015-12-18 19:57:00,391.9006677153
2015-12-18 19:58:00,391.8957068838
2015-12-18 20:58:00,386.3106032568
2015-12-18 21:57:00,391.2293131631
2015-12-18 21:58:00,391.3093140883
2015-12-18 22:57:00,391.2528219837
2015-12-18 22:58:00,391.3158832963
2015-12-18 23:57:00,390.9773161855
2015-12-18 23:58:00,391.0597273624
2015-12-19 00:57:00,391.1361877005
2015-12-19 00:58:00,391.246373057
2015-12-19 01:57:00,391.397969097
2015-12-19 01:58:00,391.2949605231
2015-12-19 02:57:00,390.8938903282
2015-12-19 02:58:00,390.9475635332
2015-12-19 03:57:00,391.0901878238
2015-12-19 03:58:00,391.1801258327
2015-12-19 04:57:00,391.5050965334
2015-12-19 04:58:00,391.5776400197
2015-12-19 05:57:00,392.0989082161
2015-12-19 05:58:00,392.1918517148
2015-12-19 06:57:00,393.2269229583
2015-12-19 06:58:00,393.2194608932
2015-12-19 07:57:00,394.9412703553
2015-12-19 07:58:00,394.9884838391
2015-12-19 08:58:00,390.2168494017
2015-12-19 09:57:00,397.2424993832
2015-12-19 09:58:00,397.333919319
2015-12-19 10:57:00,398.5894645941
2015-12-19 10:58:00,398.6693961263
2015-12-19 11:57:00,395.8650444115
2015-12-19 11:58:00,395.8754703306
2015-12-19 12:57:00,394.7181840612
2015-12-19 12:58:00,394.7241395263
2015-12-19 13:57:00,393.9290587219
2015-12-19 13:58:00,393.9002436467
2015-12-19 14:57:00,391.9903836664
2015-12-19 14:58:00,392.1226946089
2015-12-19 15:57:00,391.3338021219
2015-12-19 15:58:00,391.3467416112
2015-12-19 16:57:00,391.2084566987
2015-12-19 16:58:00,391.2572168764
2015-12-19 17:57:00,391.3537009623
2015-12-19 17:58:00,391.3342971256
2015-12-19 18:57:00,391.2422773254
2015-12-19 18:58:00,391.2571937454
2015-12-19 19:57:00,391.1925302245
2015-12-19 19:58:00,391.2223815692
2015-12-19 20:58:00,385.9488410505
2015-12-19 21:57:00,391.4591290402
2015-12-19 21:58:00,391.4113388231
2015-12-19 22:57:00,391.9172033062
2015-12-19 22:58:00,391.9565291142
2015-12-19 23:57:00,391.8789723661
2015-12-19 23:58:00,391.9212543178
2015-12-20 00:57:00,392.2609548483
2015-12-20 00:58:00,392.2818591167
2015-12-20 01:57:00,391.9366580311
2015-12-20 01:58:00,391.8988634962
2015-12-20 02:57:00,392.4460029608
2015-12-20 02:58:00,392.3987632618
2015-12-20 03:57:00,392.2331174439
2015-12-20 03:58:00,392.2768782383
2015-12-20 04:57:00,392.1341907229
2015-12-20 04:58:00,392.2086957192
2015-12-20 05:57:00,392.1775947858
2015-12-20 05:58:00,392.1958014639
2015-12-20 06:57:00,392.6579282836
2015-12-20 06:58:00,392.672855498
2015-12-20 07:57:00,392.7627066371
2015-12-20 07:58:00,392.7643412287
2015-12-20 08:58:00,387.493674096
2015-12-20 09:57:00,393.0518288922
2015-12-20 09:58:00,393.0143001069
2015-12-20 10:57:00,395.2349699811
2015-12-20 10:58:00,395.2151081503
2015-12-20 11:57:00,395.0988927955
2015-12-20 11:58:00,395.1484805494
2015-12-20 12:57:00,394.9727208241
2015-12-20 12:58:00,394.9842811909
2015-12-20 13:57:00,393.8299253639
2015-12-20 13:58:00,393.8315856567
2015-12-20 14:57:00,392.2913633934
2015-12-20 14:58:00,392.2797927461
2015-12-20 15:57:00,391.3601190476
2015-12-20 15:58:00,391.3799757381
2015-12-20 16:57:00,391.4635917839
2015-12-20 16:58:00,391.4301134962
2015-12-20 17:57:00,392.7247203717
2015-12-20 17:58:00,392.733006415
2015-12-20 18:57:00,393.2145273049
2015-12-20 18:58:00,393.2625113085
2015-12-20 19:57:00,393.7263189818
2015-12-20 19:58:00,393.7461962332
2015-12-20 20:58:00,387.6712928695
2015-12-20 21:57:00,393.2029052554
2015-12-20 21:58:00,393.2890245908
2015-12-20 22:57:00,393.1300117197
2015-12-20 22:58:00,393.1631507525
2015-12-20 23:57:00,392.9362200839
2015-12-20 23:58:00,393.0074533268
2015-12-21 00:57:00,392.7291718069
2015-12-21 00:58:00,392.7623056995
2015-12-21 01:57:00,392.5935778025
2015-12-21 01:58:00,392.6151307673
2015-12-21 02:57:00,395.0325376264
2015-12-21 02:58:00,395.0822693067
2015-12-21 03:57:00,394.947256882
2015-12-21 03:58:00,394.9927522823
2015-12-21 04:57:00,394.6505895104
2015-12-21 04:58:00,394.7151646928
2015-12-21 05:57:00,394.3623682634
2015-12-21 05:58:00,394.4915648902
2015-12-21 06:57:00,394.0898893236
2015-12-21 06:58:00,394.099818036
2015-12-21 07:57:00,394.2232341123
2015-12-21 07:58:00,394.3077195904
2015-12-21 08:58:00,389.0935996484
2015-12-21 09:57:00,394.0941454302
2015-12-21 09:58:00,394.1097489514
2015-12-21 10:57:00,393.5948591872
2015-12-21 10:58:00,393.5877899087
2015-12-21 11:57:00,393.7231415882
2015-12-21 11:58:00,393.7118492475
2015-12-21 12:57:00,393.8041045434
2015-12-21 12:58:00,393.8519923513
2015-12-21 13:57:00,393.4584787283
2015-12-21 13:58:00,393.4472458673
2015-12-21 14:57:00,393.3460355645
2015-12-21 14:58:00,393.3980539107
2015-12-21 15:57:00,392.5667891509
2015-12-21 15:58:00,392.6285159141
2015-12-21 16:57:00,392.0575631807
2015-12-21 16:58:00,392.0491611152
2015-12-21 17:57:00,391.273421804
2015-12-21 17:58:00,391.2930853689
2015-12-21 18:57:00,391.3881956928
2015-12-21 18:58:00,391.2474093264
2015-12-21 19:57:00,390.7969757851
2015-12-21 19:58:00,390.7836170738
2015-12-21 20:58:00,385.5451277517
2015-12-21 21:57:00,390.9597828769
2015-12-21 21:58:00,390.9893905749
2015-12-21 22:57:00,391.2151492721
2015-12-21 22:58:00,391.2065136936
2015-12-21 23:57:00,391.050660776
2015-12-21 23:58:00,391.0938810757
2015-12-22 00:57:00,390.9419912719
2015-12-22 00:58:00,390.8469035283
2015-12-22 01:57:00,390.9212735936
2015-12-22 01:58:00,391.2124352332
2015-12-22 02:57:00,391.0952805021
2015-12-22 02:58:00,390.9992598075
2015-12-22 03:57:00,390.9735651061
2015-12-22 03:58:00,391.2472551197
2015-12-22 04:57:00,391.2398377745
2015-12-22 04:58:00,391.2769245004
2015-12-22 05:57:00,391.2484849186
2015-12-22 05:58:00,391.2472551197
2015-12-22 06:57:00,391.3881731125
2015-12-22 06:58:00,391.3857019492
2015-12-22 07:57:00,391.4419295892
2015-12-22 07:58:00,391.5439180854
2015-12-22 08:58:00,386.5354161526
2015-12-22 09:57:00,391.728626943
2015-12-22 09:58:00,391.8150444115
2015-12-22 10:57:00,392.0533940908
2015-12-22 10:58:00,392.0521527264
2015-12-22 11:57:00,392.2028204416
2015-12-22 11:58:00,392.2299839625
2015-12-22 12:57:00,392.2843148594
2015-12-22 12:58:00,392.2497224278
2015-12-22 13:57:00,392.3168023686
2015-12-22 13:58:00,392.3316062176
2015-12-22 14:57:00,392.5300626079
2015-12-22 14:58:00,392.6251542068
2015-12-22 15:57:00,392.4991827042
2015-12-22 15:58:00,392.47696151
2015-12-22 16:57:00,392.0422757834
2015-12-22 16:58:00,392.0422834937
2015-12-22 17:57:00,392.1483893104
2015-12-22 17:58:00,392.2262521589
2015-12-22 18:57:00,391.9657198372
2015-12-22 18:58:00,391.973106341
2015-12-22 19:57:00,392.2179044329
2015-12-22 20:58:00,386.3638354305
2015-12-22 21:57:00,392.2375880692
2015-12-22 22:57:00,391.8436274913
2015-12-22 23:57:00,392.0728130055
2015-12-23 00:57:00,392.5373351701
2015-12-23 01:57:00,392.6745689064
2015-12-23 02:57:00,393.0020046879
2015-12-23 03:57:00,392.9596046824
2015-12-23 04:57:00,392.4791238315
2015-12-23 05:57:00,392.2470495107
2015-12-23 06:57:00,392.7372042657
2015-12-23 07:57:00,392.1029552869
2015-12-23 08:58:00,386.7061320318
2015-12-23 09:57:00,392.7823491515
2015-12-23 10:57:00,392.9992358198
2015-12-23 11:57:00,393.0300668915
2015-12-23 12:57:00,392.9311209803
2015-12-23 13:57:00,392.7790491268
2015-12-23 14:57:00,392.8263906023
2015-12-23 15:57:00,392.6557385476
2015-12-23 16:57:00,392.8594765195
2015-12-23 17:57:00,392.9487519533
2015-12-23 18:57:00,392.9525283055
2015-12-23 19:57:00,392.820445075
2015-12-23 20:58:00,386.3443574033
2015-12-23 21:57:00,392.5387812868
2015-12-23 22:57:00,392.9166666667
2015-12-23 23:57:00,393.2110370919
2015-12-24 00:57:00,393.4187124764
2015-12-24 01:57:00,393.2908236697
2015-12-24 02:57:00,392.6584080379
2015-12-24 03:57:00,392.0865442608
2015-12-24 04:57:00,391.2907928284
2015-12-24 05:57:00,391.1361817035
2015-12-24 06:57:00,391.4837431806
2015-12-24 07:57:00,392.4802238397
2015-12-24 08:58:00,386.4913130192
2015-12-24 09:57:00,393.0093175151
2015-12-24 10:57:00,393.3206472572
2015-12-24 11:57:00,392.4923239301
2015-12-24 12:57:00,392.3430449324
2015-12-24 13:57:00,392.7035152288
2015-12-24 14:57:00,392.8382748033
2015-12-24 15:57:00,392.5998403103
2015-12-24 16:57:00,392.4987560655
2015-12-24 17:57:00,391.8856402665
2015-12-24 18:57:00,391.4351474902
2015-12-24 19:57:00,391.6382343669
2015-12-24 20:58:00,385.5946713854
2015-12-24 21:57:00,391.724117252
2015-12-24 22:57:00,392.1119883762
2015-12-24 23:57:00,391.2538414617
2015-12-25 00:57:00,391.0415947035
2015-12-25 01:57:00,391.4644913233
2015-12-25 02:57:00,391.6339851139
2015-12-25 03:57:00,391.382710338
2015-12-25 04:57:00,391.4449173452
2015-12-25 05:57:00,390.7914370699
2015-12-25 06:57:00,390.0865236999
2015-12-25 07:57:00,389.4257271705
2015-12-25 08:58:00,383.8603537846
2015-12-25 09:57:00,388.2304260219
2015-12-25 10:57:00,388.6712243331
2015-12-25 11:57:00,390.8266681745
2015-12-25 12:57:00,391.5120315541
2015-12-25 13:57:00,391.6231563725
2015-12-25 14:57:00,391.0253241769
2015-12-25 15:57:00,391.4400581188
2015-12-25 16:57:00,391.0068330729
2015-12-25 17:57:00,389.9141102613
2015-12-25 18:57:00,390.09702004
2015-12-25 19:57:00,390.2108486169
2015-12-25 20:58:00,384.5844821737
2015-12-25 21:57:00,389.9866902432
2015-12-25 22:57:00,389.5232098309
2015-12-25 23:57:00,388.746669134
2015-12-26 00:57:00,388.8939742852
2015-12-26 01:57:00,387.9323169394
2015-12-26 02:57:00,391.7579570688
2015-12-26 03:57:00,389.1569242262
2015-12-26 04:57:00,389.3023035063
2015-12-26 05:57:00,389.5065143789
2015-12-26 06:57:00,391.4367992159
2015-12-26 07:57:00,390.8445047564
2015-12-26 08:58:00,382.8446829509
2015-12-26 09:57:00,388.4652555035
2015-12-26 10:57:00,389.2255633687
2015-12-26 11:57:00,387.4473195438
2015-12-26 12:57:00,387.4271869945
2015-12-26 13:57:00,382.9699228281
2015-12-26 14:57:00,382.7797653316
2015-12-26 15:57:00,383.7853064945
2015-12-26 16:57:00,384.4392288291
2015-12-26 17:57:00,385.4043438331
2015-12-26 18:57:00,388.1249931464
2015-12-26 19:57:00,389.2684739699
2015-12-26 20:58:00,381.6779854429
2015-12-26 21:57:00,386.6643604189
2015-12-26 22:57:00,385.1913260411
2015-12-26 23:57:00,386.7605614497
2015-12-27 00:57:00,385.2784905557
2015-12-27 01:57:00,389.1682224415
2015-12-27 02:57:00,392.7070722647
2015-12-27 03:57:00,384.1036714916
2015-12-27 04:57:00,386.8241220495
2015-12-27 05:57:00,388.3241391836
2015-12-27 06:57:00,388.901520136
2015-12-27 07:57:00,389.5321229816
2015-12-27 08:58:00,382.1329604957
2015-12-27 09:57:00,386.7686247498
2015-12-27 10:57:00,387.7490233572
2015-12-27 11:57:00,388.2408469721
2015-12-27 12:57:00,388.8820763769
2015-12-27 13:57:00,390.3903178715
2015-12-27 14:57:00,391.9343387614
2015-12-27 15:57:00,396.959800011
2015-12-27 16:57:00,396.8964313129
2015-12-27 17:57:00,388.3103599528
2015-12-27 18:57:00,389.9000431779
2015-12-27 19:57:00,391.1723894509
2015-12-27 20:57:00,384.4243461633
2015-12-27 20:58:00,384.5487205245
2015-12-27 21:57:00,388.4965526222
2015-12-27 22:57:00,388.1797913754
2015-12-27 23:57:00,388.0930860542
2015-12-28 00:57:00,387.8563101406
2015-12-28 01:57:00,387.629492557
2015-12-28 02:57:00,386.9988143214
2015-12-28 03:57:00,386.685150917
2015-12-28 04:57:00,386.7011781396
2015-12-28 05:57:00,387.027585876
2015-12-28 06:57:00,387.6794315596
2015-12-28 07:57:00,388.2695122954
2015-12-28 08:57:00,382.1276369356
2015-12-28 08:58:00,382.3599494202
2015-12-28 09:57:00,389.0430613811
2015-12-28 10:57:00,389.2009519697
2015-12-28 11:57:00,389.1931936563
2015-12-28 12:57:00,389.2098171451
2015-12-28 13:57:00,389.1566466541
2015-12-28 14:57:00,388.8303896976
