time,surface_partial_pressure_of_carbon_dioxide_in_sea_water
2015-12-11 08:58:00,381.5972907586
2015-12-11 18:58:00,385.6029895551
2015-12-11 20:58:00,380.645050734
2015-12-12 08:58:00,381.924596321
2015-12-12 20:58:00,381.621967267
2015-12-13 08:58:00,382.2093236834
2015-12-13 20:58:00,379.8931895441
2015-12-14 08:58:00,381.8848962189
2015-12-14 20:58:00,382.4520348439
2015-12-15 08:58:00,368.7455519917
2015-12-15 20:58:00,369.12579802
2015-12-16 08:58:00,370.0502028676
2015-12-16 20:58:00,366.5277435096
2015-12-17 20:58:00,385.4281122351
2015-12-18 08:58:00,384.0352482386
2015-12-18 20:58:00,386.3106032568
2015-12-19 20:58:00,385.9488410505
2015-12-20 08:58:00,387.493674096
2015-12-20 20:58:00,387.6712928695
2015-12-21 08:58:00,389.0935996484
2015-12-21 20:58:00,385.5451277517
2015-12-22 08:58:00,386.5354161526
2015-12-22 20:58:00,386.3638354305
2015-12-23 07:57:00,392.1029552869
2015-12-23 08:58:00,386.7061320318
2015-12-23 20:58:00,386.3443574033
2015-12-24 08:58:00,386.4913130192
2015-12-24 20:58:00,385.5946713854
2015-12-25 08:58:00,383.8603537846
2015-12-25 09:57:00,388.2304260219
2015-12-25 20:58:00,384.5844821737
2015-12-26 08:58:00,382.8446829509
2015-12-27 08:58:00,382.1329604957
2015-12-27 20:57:00,384.4243461633
2015-12-27 20:58:00,384.5487205245
2015-12-28 08:57:00,382.1276369356
2015-12-28 08:58:00,382.3599494202
2015-12-28 20:57:00,382.8601036269
2015-12-28 20:58:00,383.0017711748
2015-12-29 20:57:00,378.2797850358
2015-12-29 20:58:00,378.5119664446
