time,partial_pressure_of_carbon_dioxide_in_sea_water,deployment,annotation_flags
2013-11-21 20:05:00,475.526406791,1,1
2013-11-21 22:05:00,473.5196332178,1,1
2013-11-22 00:05:00,474.419021984,1,1
2013-11-22 02:05:00,478.6454870927,1,1
2013-11-22 04:05:00,476.4859754341,1,1
2013-11-22 06:05:00,479.7225742866,1,1
2013-11-22 08:05:00,474.7302273339,1,1
2013-11-22 10:05:00,471.5450988257,1,1
2013-11-22 12:05:00,471.2698786992,1,1
2013-11-22 14:05:00,469.2454048577,1,1
2013-11-22 16:05:00,468.6973444047,1,1
2013-11-22 18:05:00,462.461175904,1,1
2013-11-22 20:05:00,462.4732908551,1,1
2013-11-22 22:05:00,466.8092903742,1,1
2013-11-23 00:05:00,469.418362895,1,1
2013-11-23 02:05:00,467.7873459678,1,1
2013-11-23 04:05:00,465.3462478824,1,1
2013-11-23 06:05:00,471.4568839733,1,1
2013-11-23 08:05:00,469.7168223942,1,1
2013-11-23 10:05:00,469.2956237913,1,1
2013-11-23 12:05:00,468.8845172514,1,1
2013-11-23 14:05:00,469.4230306002,1,1
2013-11-23 16:05:00,465.2998325593,1,1
2013-11-23 18:05:00,464.2555570243,1,1
2013-11-23 20:05:00,462.402960651,1,1
2013-11-23 22:05:00,464.1538046255,1,1
2013-11-24 00:05:00,465.3654215029,1,1
2013-11-24 02:05:00,467.7333570038,1,1
2013-11-24 04:05:00,468.2148537104,1,1
2013-11-24 06:05:00,465.8445572448,1,1
2013-11-24 08:05:00,467.115982706,1,1
2013-11-24 10:05:00,462.2922587998,1,1
2013-11-24 12:05:00,457.3642280074,1,1
2013-11-24 14:05:00,452.1842809974,1,1
2013-11-24 16:05:00,451.4125691008,1,1
2013-11-24 18:05:00,452.8232514153,1,1
2013-11-24 20:05:00,459.6305794201,1,1
2013-11-24 22:05:00,462.612606663,1,1
2013-11-25 00:05:00,464.3963127671,1,1
2013-11-25 02:05:00,464.5868851487,1,1
2013-11-25 04:05:00,465.2224201629,1,1
2013-11-25 06:05:00,466.8012431069,1,1
2013-11-25 08:05:00,467.1885568878,1,1
2013-11-25 10:05:00,466.3001837304,1,1
2013-11-25 12:05:00,466.6972967102,1,1
2013-11-25 14:05:00,465.3808850959,1,1
2013-11-25 16:05:00,469.787865762,1,1
2013-11-25 18:05:00,459.6648610355,1,1
2013-11-25 20:05:00,468.9894681043,1,1
2013-11-25 22:05:00,469.8225343569,1,1
2013-11-26 00:05:00,470.2569496401,1,1
2013-11-26 02:05:00,468.7481837672,1,1
2013-11-26 04:05:00,472.9060684627,1,1
2013-11-26 06:05:00,463.6851136978,1,1
2013-11-26 08:05:00,474.1493473133,1,1
2013-11-26 10:05:00,471.4474520701,1,1
2013-11-26 12:05:00,470.5299968425,1,1
2013-11-26 14:05:00,468.9076933057,1,1
2013-11-26 16:05:00,470.931906855,1,1
2013-11-26 18:05:00,469.2738537333,1,1
2013-11-26 20:05:00,468.758541186,1,1
2013-11-26 22:05:00,468.1312467571,1,1
2013-11-27 00:05:00,465.7307946524,1,1
2013-11-27 02:05:00,466.5367095113,1,1
2013-11-27 04:05:00,466.9030349446,1,1
2013-11-27 06:05:00,468.7257089624,1,1
2013-11-27 08:05:00,468.2005461388,1,1
2013-11-27 10:05:00,468.0086990261,1,1
2013-11-27 12:05:00,467.6086394357,1,1
2013-11-27 14:05:00,466.267734829,1,1
2013-11-27 16:05:00,465.9728033228,1,1
2013-11-27 18:05:00,464.3420480704,1,1
2013-11-27 20:05:00,466.8954234447,1,1
2013-11-27 22:05:00,466.076936951,1,1
2013-11-28 00:05:00,460.4300919894,1,1
2013-11-28 02:05:00,460.7315559675,1,1
2013-11-28 04:05:00,461.4167308444,1,1
2013-11-28 06:05:00,460.6626484221,1,1
2013-11-28 08:05:00,462.2925124748,1,1
2013-11-28 12:05:00,459.2336141286,1,1
2013-11-28 14:05:00,458.4370437627,1,1
2013-11-28 16:05:00,465.1646544714,1,1
2013-11-28 18:05:00,456.160243794,1,1
2013-11-28 20:05:00,457.3478637931,1,1
2013-11-28 22:05:00,460.8104047276,1,1
2013-11-29 00:05:00,463.2336310871,1,1
2013-11-29 02:05:00,457.3802994057,1,1
2013-11-29 04:05:00,453.6491698432,1,1
2013-11-29 06:05:00,456.1312966543,1,1
2013-11-29 08:05:00,454.2620961141,1,1
2013-11-29 10:05:00,456.5232227912,1,1
2013-11-29 12:05:00,456.7790832396,1,1
2013-11-29 14:05:00,455.8757390787,1,1
2013-11-29 16:05:00,455.3406133297,1,1
2013-11-29 18:05:00,456.5453775341,1,1
2013-11-29 20:05:00,456.9032358069,1,1
2013-11-29 22:05:00,455.5639201912,1,1
2013-11-30 00:05:00,455.6878994682,1,1
2013-11-30 02:05:00,457.0152300703,1,1
2013-11-30 04:05:00,455.2964468419,1,1
2013-11-30 06:05:00,457.9526249598,1,1
2013-11-30 10:05:00,437.4175609536,1,1
2013-11-30 12:05:00,438.9067991766,1,1
2013-11-30 14:05:00,454.9675316259,1,1
2013-11-30 16:05:00,451.1701286767,1,1
2013-11-30 18:05:00,452.4028079837,1,1
2013-11-30 20:05:00,452.1381514695,1,1
2013-11-30 22:05:00,454.4852017462,1,1
2013-12-01 00:05:00,453.6051032419,1,1
2013-12-01 02:05:00,454.391898213,1,1
2013-12-01 04:05:00,452.9271301063,1,1
2013-12-01 06:05:00,452.5205762754,1,1
2013-12-01 08:05:00,449.8490769065,1,1
2013-12-01 10:05:00,455.5666147933,1,1
2013-12-01 12:05:00,458.7077476704,1,1
2013-12-01 14:05:00,458.6079166718,1,1
2013-12-01 16:05:00,458.9798446507,1,1
2013-12-01 20:05:00,450.5805665017,1,1
2013-12-01 22:05:00,445.3481212697,1,1
2013-12-02 02:05:00,462.237769391,1,1
2013-12-02 04:05:00,449.8778604591,1,1
2013-12-02 06:05:00,447.9994617017,1,1
2013-12-02 08:05:00,446.2115442513,1,1
2013-12-02 10:05:00,457.9440895102,1,1
2013-12-02 12:05:00,460.9009844606,1,1
2013-12-02 14:05:00,461.0389133169,1,1
2013-12-02 16:05:00,461.719703087,1,1
2013-12-02 18:05:00,458.404108107,1,1
2013-12-02 20:05:00,458.3861063789,1,1
2013-12-02 22:05:00,453.2969040559,1,1
2013-12-03 00:05:00,456.6084716415,1,1
2013-12-03 02:05:00,458.3588741121,1,1
2013-12-03 04:05:00,460.1028365051,1,1
2013-12-03 06:05:00,459.9355155604,1,1
2013-12-03 08:05:00,456.2942750791,1,1
2013-12-03 10:05:00,454.3218294238,1,1
2013-12-03 12:05:00,457.2385382066,1,1
2013-12-03 14:05:00,458.4967048619,1,1
2013-12-03 16:05:00,458.8257256005,1,1
2013-12-03 18:05:00,458.8833948248,1,1
2013-12-03 20:05:00,459.008202181,1,1
2013-12-03 22:05:00,458.1582833919,1,1
2013-12-04 00:05:00,458.2728326554,1,1
2013-12-04 02:05:00,456.4372283349,1,1
2013-12-04 04:05:00,453.2620047416,1,1
2013-12-04 06:05:00,456.0058525272,1,1
