time,surface_partial_pressure_of_carbon_dioxide_in_sea_water,pmel_nh10_pco2_seawater,ooi_pmel_pco2_difference
2015-04-02 21:00:00,333.9767284864,317.9,16.076728486400043
2015-04-03 00:00:00,338.5504461716,321.5,17.050446171600015
2015-04-03 03:00:00,338.6566980563,325.4,13.256698056300024
2015-04-03 06:00:00,330.8413520849,324.4,6.441352084900018
2015-04-03 09:00:00,328.5565219179,324.8,3.7565219178999882
2015-04-03 12:00:00,331.1444129177,327.3,3.8444129176999695
2015-04-03 15:00:00,335.7511445568,330.4,5.351144556800023
2015-04-03 18:00:00,336.7010616279,,
2015-04-03 21:00:00,336.1419353291,329.9,6.241935329100045
2015-04-04 00:00:00,337.011921896,331.5,5.51192189599999
2015-04-04 03:00:00,324.959032404,316.7,8.259032404000038
2015-04-04 06:00:00,313.5809311347,304.7,8.880931134700006
2015-04-04 09:00:00,312.5949570963,301.7,10.894957096300004
2015-04-04 12:00:00,308.4130616553,299.6,8.813061655299975
2015-04-04 15:00:00,300.4300826548,294.2,6.2300826548000146
2015-04-04 18:00:00,307.8155721413,300.0,7.815572141299981
2015-04-04 21:00:00,314.3616525482,304.9,9.46165254820005
2015-04-05 00:00:00,315.049969844,309.1,5.949969843999952
2015-04-05 03:00:00,316.5672547084,310.6,5.967254708399992
2015-04-05 06:00:00,315.985607369,309.2,6.78560736899999
2015-04-05 09:00:00,318.9831434877,312.5,6.4831434876999765
2015-04-05 12:00:00,321.8217027168,314.0,7.821702716800019
2015-04-05 15:00:00,320.4359288045,313.5,6.9359288045000085
2015-04-05 18:00:00,322.4338692875,314.6,7.833869287499965
2015-04-05 21:00:00,323.6523836938,316.7,6.952383693800016
2015-04-06 00:00:00,325.265609151,318.0,7.265609150999978
2015-04-06 03:00:00,325.0455561038,318.0,7.045556103799981
2015-04-06 06:00:00,327.0990898374,319.4,7.699089837400038
2015-04-06 09:00:00,326.0103935357,327.2,-1.1896064642999704
2015-04-06 12:00:00,327.5169044878,,
2015-04-06 15:00:00,328.3063231625,325.1,3.2063231624999844
2015-04-06 18:00:00,329.3925144612,324.1,5.292514461199971
2015-04-06 21:00:00,328.6992762563,323.9,4.799276256300004
2015-04-07 00:00:00,330.3318872166,325.1,5.231887216600001
2015-04-07 03:00:00,330.0734058448,325.4,4.6734058448000155
2015-04-07 06:01:00,331.8682765852,325.3,6.56827658520001
2015-04-07 09:01:00,331.3267949667,325.5,5.8267949666999925
2015-04-07 12:01:00,327.2870713052,315.5,11.787071305200016
2015-04-07 15:01:00,318.8005181347,313.0,5.800518134699985
2015-04-07 18:01:00,320.0768052471,313.7,6.376805247100037
2015-04-07 21:01:00,321.3935253722,309.4,11.993525372199997
2015-04-08 00:01:00,314.2161670368,304.6,9.616167036799993
2015-04-08 03:01:00,314.0102547496,307.4,6.610254749600017
2015-04-08 06:01:00,315.6595978288,307.9,7.759597828799997
2015-04-08 09:01:00,328.948334567,321.4,7.54833456700004
2015-04-08 12:01:00,328.8458240809,323.6,5.245824080899979
2015-04-08 15:01:00,332.5090673575,328.0,4.509067357499987
2015-04-08 18:01:00,337.3342101089,330.6,6.734210108899958
2015-04-08 21:01:00,342.5959959113,334.4,8.195995911300031
2015-04-09 00:01:00,346.0441271212,341.1,4.944127121199983
2015-04-09 03:01:00,344.4849494202,328.4,16.08494942020002
2015-04-09 06:01:00,319.2610960331,314.5,4.761096033099989
2015-04-09 09:01:00,320.2821641034,315.6,4.682164103399998
2015-04-09 12:01:00,321.5630225896,315.7,5.863022589600007
2015-04-09 15:01:00,322.6587712805,322.9,-0.24122871949998625
2015-04-09 18:01:00,342.0315061546,337.2,4.831506154599992
2015-04-09 21:01:00,345.792746114,334.8,10.992746114
2015-04-10 00:01:00,344.4038126765,335.9,8.503812676500047
2015-04-10 03:01:00,315.0984969981,293.6,21.498496998099995
2015-04-10 06:01:00,289.9264468021,283.2,6.726446802099986
2015-04-10 09:01:00,291.5358445048,283.8,7.7358445048000135
2015-04-10 12:01:00,290.5635400389,285.7,4.863540038899998
2015-04-10 15:01:00,292.588261096,288.8,3.788261095999985
2015-04-10 18:01:00,300.5051230913,295.3,5.205123091299981
2015-04-10 21:01:00,301.5330173808,,
2015-04-11 00:01:00,294.5777373413,,
2015-04-11 03:01:00,294.1853702333,,
2015-04-11 06:01:00,308.037955424,312.5,-4.4620445759999825
2015-04-11 09:01:00,317.403223264,312.5,4.903223264000019
2015-04-11 12:01:00,326.4573429832,321.8,4.65734298320001
2015-04-11 15:01:00,318.3595519094,312.0,6.359551909400011
2015-04-11 18:01:00,313.2839631823,304.7,8.58396318230001
2015-04-11 21:01:00,310.5588932752,303.4,7.1588932752000005
2015-04-12 00:01:00,319.0477664007,312.2,6.8477664007000385
2015-04-12 03:01:00,317.9930401349,311.4,6.593040134900036
2015-04-12 06:01:00,322.9010643693,314.8,8.10106436929999
2015-04-12 09:01:00,309.1965587905,304.1,5.096558790499955
2015-04-12 12:01:00,305.9280334183,300.6,5.328033418299981
2015-04-12 15:01:00,310.4062662774,306.0,4.406266277399993
2015-04-12 18:01:00,317.7188365271,330.5,-12.781163472900005
2015-04-12 21:01:00,340.2385612852,331.7,8.53856128519999
2015-04-13 00:01:00,350.4540943608,342.6,7.854094360799991
2015-04-13 03:01:00,346.5206191573,340.5,6.020619157300018
2015-04-13 06:01:00,347.030375305,340.8,6.2303753049999955
2015-04-13 09:01:00,347.16750281,340.9,6.267502809999996
2015-04-13 12:01:00,345.2247306522,340.5,4.72473065219998
2015-04-13 15:01:00,346.8748800614,,
2015-04-13 18:01:00,343.8943032596,,
2015-04-13 21:01:00,344.1197261288,339.8,4.319726128799971
2015-04-14 00:01:00,342.6638018477,337.0,5.663801847699972
2015-04-14 03:01:00,314.8695136661,311.1,3.7695136660999538
2015-04-14 06:01:00,317.7576315212,313.0,4.757631521199983
