,time,chlora,depth,chlora_dark,chlora_corr
3531,2018-06-26 21:51:59.888759808,0.2023,5.512096713039671,0.1666,0.0497541509426079
3540,2018-06-26 21:52:10.045045248,0.2023,5.635108917879107,0.1666,0.0497541509426079
3530,2018-06-26 21:51:58.760073728,0.2023,5.6409396691741085,0.1666,0.0497541509426079
3532,2018-06-26 21:52:01.017464320,0.1904,5.694628353575865,0.1547,0.04620028301813591
3533,2018-06-26 21:52:02.146239488,0.1785,5.780315710294685,0.14279999999999998,0.04264641509366391
3539,2018-06-26 21:52:08.916674048,0.238,5.796831551968029,0.20229999999999998,0.060415754716023874
3537,2018-06-26 21:52:06.659833856,0.1666,5.810771215168501,0.1309,0.039092547169191916
3536,2018-06-26 21:52:05.531404800,0.1785,5.812123486626895,0.14279999999999998,0.04264641509366391
3534,2018-06-26 21:52:03.274494976,0.1904,5.8217429698457295,0.1547,0.04620028301813591
3538,2018-06-26 21:52:07.788244992,0.2142,5.876772764754136,0.1785,0.05330801886707989
3535,2018-06-26 21:52:04.402989056,0.1785,5.9087218901133305,0.14279999999999998,0.04264641509366391
3521,2018-06-26 21:51:48.601709568,0.1666,5.930069701058195,0.1309,0.039092547169191916
3522,2018-06-26 21:51:49.730389504,0.2142,5.961870888947987,0.1785,0.05330801886707989
3520,2018-06-26 21:51:47.473054208,0.1904,6.026618300077924,0.1547,0.04620028301813591
3529,2018-06-26 21:51:57.631362048,0.1666,6.0630900766090825,0.1309,0.039092547169191916
3523,2018-06-26 21:51:50.859119616,0.2261,6.1363172244646735,0.19039999999999999,0.05686188679155188
3513,2018-06-26 21:51:39.572144640,0.2142,6.393486940425906,0.1785,0.05330801886707989
3524,2018-06-26 21:51:51.987816448,0.2023,6.397511128909316,0.1666,0.0497541509426079
3528,2018-06-26 21:51:56.502644224,0.1904,6.400396085570559,0.1547,0.04620028301813591
3519,2018-06-26 21:51:46.344333824,0.1904,6.453887638094543,0.1547,0.04620028301813591
3505,2018-06-26 21:51:30.542294016,0.1904,6.487542162992517,0.1547,0.04620028301813591
3525,2018-06-26 21:51:53.116519936,0.2142,6.511196421357963,0.1785,0.05330801886707989
3527,2018-06-26 21:51:55.373942784,0.1904,6.511342187453917,0.1547,0.04620028301813591
3526,2018-06-26 21:51:54.245230592,0.2023,6.511369836223524,0.1666,0.0497541509426079
3512,2018-06-26 21:51:38.443383296,0.1785,6.526141127435289,0.14279999999999998,0.04264641509366391
3514,2018-06-26 21:51:40.700869632,0.1904,6.564552044327198,0.1547,0.04620028301813591
3496,2018-06-26 21:51:20.383950848,0.2499,6.601595559205892,0.2142,0.06396962264049587
3506,2018-06-26 21:51:31.671032832,0.2142,6.679820128766911,0.1785,0.05330801886707989
3504,2018-06-26 21:51:29.413624320,0.1785,6.77403752042008,0.14279999999999998,0.04264641509366391
3515,2018-06-26 21:51:41.829591040,0.2023,6.796457754097995,0.1666,0.0497541509426079
3511,2018-06-26 21:51:37.314596352,0.2142,6.803842975098233,0.1785,0.05330801886707989
3518,2018-06-26 21:51:45.215633920,0.1904,6.8330010488126085,0.1547,0.04620028301813591
3495,2018-06-26 21:51:19.255198720,0.1666,6.846140209115496,0.1309,0.039092547169191916
3516,2018-06-26 21:51:42.958303232,0.2023,6.914537337831816,0.1666,0.0497541509426079
3497,2018-06-26 21:51:21.512650752,0.2023,6.93439532165605,0.1666,0.0497541509426079
3517,2018-06-26 21:51:44.086971904,0.2023,6.940115424390733,0.1666,0.0497541509426079
3510,2018-06-26 21:51:36.185861632,0.1666,6.975524676282999,0.1309,0.039092547169191916
3489,2018-06-26 21:51:12.482943488,0.2023,7.024529792555687,0.1666,0.0497541509426079
3503,2018-06-26 21:51:28.284881920,0.238,7.122349567354416,0.20229999999999998,0.060415754716023874
3488,2018-06-26 21:51:11.354528768,0.1666,7.124672596391137,0.1309,0.039092547169191916
3509,2018-06-26 21:51:35.057168384,0.1904,7.188128540242625,0.1547,0.04620028301813591
3507,2018-06-26 21:51:32.799744000,0.1904,7.200725823064901,0.1547,0.04620028301813591
3490,2018-06-26 21:51:13.611602944,0.2142,7.320205141473046,0.1785,0.05330801886707989
3502,2018-06-26 21:51:27.156200448,0.2023,7.341387233161565,0.1666,0.0497541509426079
3508,2018-06-26 21:51:33.928467456,0.1666,7.386403914727188,0.1309,0.039092547169191916
3487,2018-06-26 21:51:10.226065408,0.238,7.488607901875433,0.20229999999999998,0.060415754716023874
3498,2018-06-26 21:51:22.641335808,0.2142,7.509789437192698,0.1785,0.05330801886707989
3501,2018-06-26 21:51:26.027504640,0.2023,7.5678510959479315,0.1666,0.0497541509426079
3479,2018-06-26 21:51:01.198651392,0.238,7.602511186644076,0.20229999999999998,0.060415754716023874
3494,2018-06-26 21:51:18.126424576,0.2023,7.680687764436184,0.1666,0.0497541509426079
3478,2018-06-26 21:51:00.069950464,0.1904,7.72199176429318,0.1547,0.04620028301813591
3500,2018-06-26 21:51:24.898789888,0.1666,7.809396957060975,0.1309,0.039092547169191916
3499,2018-06-26 21:51:23.770034688,0.1904,7.852888150246562,0.1547,0.04620028301813591
3480,2018-06-26 21:51:02.327331328,0.2142,7.867255705967698,0.1785,0.05330801886707989
3469,2018-06-26 21:50:49.911582208,0.2261,8.001705253658006,0.19039999999999999,0.05686188679155188
