practical_salinity,nitrate_concentration,time,seawater_temperature,salinity_corrected_nitrate,depth
1,\u00b5Mol L-1,UTC,\u00baC,\u00b5mol L-1,m
32.66194,3.04,2020-08-16T21:50:21Z,11.232067,2.6815462,8.372651
32.650524,2.91,2020-08-16T21:50:22Z,11.230592,2.8081765,8.619873
32.656357,2.62,2020-08-16T21:51:02Z,11.297794,2.1999426,7.1585946
32.657486,2.87,2020-08-16T21:51:03Z,11.290022,2.2873795,7.3711147
32.669388,1.72,2020-08-16T21:51:41Z,11.365287,1.442059,5.928868
33.99608,31.74,2020-08-17T07:21:08Z,7.2363114,32.54183,193.71027
33.99644,31.29,2020-08-17T07:21:09Z,7.235486,32.51932,193.71269
33.998997,32.0,2020-08-17T07:21:48Z,7.2289224,32.429043,193.71362
33.998436,31.22,2020-08-17T07:21:49Z,7.2293773,32.354126,193.71416
33.995556,31.39,2020-08-17T07:22:28Z,7.2371736,32.466095,192.46931
33.99488,32.21,2020-08-17T07:23:07Z,7.243912,32.48377,190.54077
33.99515,32.05,2020-08-17T07:23:08Z,7.243903,32.337055,190.4859
33.994236,31.61,2020-08-17T07:23:48Z,7.250319,32.40108,188.5279
33.995213,32.57,2020-08-17T07:23:49Z,7.2506084,32.503944,188.47014
33.991257,31.59,2020-08-17T07:24:27Z,7.2596087,32.483124,186.6002
33.991196,32.0,2020-08-17T07:24:28Z,7.2597656,32.610287,186.54913
33.9909,31.6,2020-08-17T07:25:07Z,7.2602887,32.409866,184.61452
33.990936,32.03,2020-08-17T07:25:08Z,7.260481,32.452744,184.56392
33.988613,31.72,2020-08-17T07:25:47Z,7.265204,32.5488,182.6475
33.988842,31.62,2020-08-17T07:25:49Z,7.2650723,32.520557,182.5947
33.988953,31.88,2020-08-17T07:26:28Z,7.2677135,32.50456,180.67671
33.988358,32.65,2020-08-17T07:26:29Z,7.2683964,32.62281,180.6275
33.988884,32.09,2020-08-17T07:27:07Z,7.2675295,32.52879,178.75204
33.989674,32.35,2020-08-17T07:27:08Z,7.26693,32.53635,178.70258
33.987778,32.84,2020-08-17T07:27:48Z,7.2745004,32.364105,176.76071
33.98757,31.83,2020-08-17T07:27:49Z,7.274949,32.508335,176.70782
33.989704,31.21,2020-08-17T07:28:27Z,7.2823777,32.18196,174.81953
33.990334,32.11,2020-08-17T07:28:28Z,7.286948,32.32504,174.76945
33.98751,31.48,2020-08-17T07:29:07Z,7.2921357,32.32273,172.84853
33.98757,31.38,2020-08-17T07:29:08Z,7.293245,32.281475,172.78793
33.983215,32.1,2020-08-17T07:29:47Z,7.3116536,32.19433,170.8623
33.983116,31.89,2020-08-17T07:29:49Z,7.310545,32.349216,170.81172
