FID,time,profile,depth,segment,distance,start_latitude,start_longitude,start_time,bottom_depth,ctd_bottle_closure_time,ctd_pressure,ctd_depth,ctd_latitude,ctd_longitude,ctd_temperature_1,ctd_temperature_2,ctd_conductivity_1,ctd_conductivity_2,ctd_salinity_1,ctd_salinity_2,ctd_oxygen,ctd_oxygen_saturation,ctd_fluorescence,ctd_beam_attenuation,ctd_beam_transmission,ctd_ph,discrete_oxygen,discrete_chlorophyll,discrete_phaeopigment,discrete_fofa_ratio,discrete_phosphate,discrete_silicate,discrete_nitrate,discrete_nitrite,discrete_ammonium,discrete_salinity,geom,source,source_id
f8e4f1f5-b978-5fd9-ad4f-b7f73d2cf2b4.1,2020-08-03T15:17:41,0,10.356,0,0,44.5375,-125.3785,2020-08-03T15:17:41,5000,2020-08-03T18:15:05,10.44,10.356,44.53748,-125.37856,14.1694,14.2063,3.885443,3.88972,31.996,32.0047,297.035466,263.337564,0.3114,0.2522,93.8901,,282.544301,,,,0.378117,5.585866,0.05,0,0.000049,,POINT (-125.3785 44.5375),ooi.ocdi.ocdi,Cabled-11_TN382_Discrete_Summary
f8e4f1f5-b978-5fd9-ad4f-b7f73d2cf2b4.2,2020-08-03T15:17:41,0,1800.709961,0,0,44.5375,-125.3785,2020-08-03T15:17:41,5000,2020-08-03T16:57:05,1823.292,1800.71,44.53748,-125.37857,2.1936,2.1927,3.139545,3.14032,34.5724,34.5829,52.841239,339.237894,-0.012,0.0627,98.4434,,,,,,,,,,,34.57316,POINT (-125.3785 44.5375),ooi.ocdi.ocdi,Cabled-11_TN382_Discrete_Summary
f8e4f1f5-b978-5fd9-ad4f-b7f73d2cf2b4.3,2020-08-03T15:17:41,0,500.390991,0,0,44.5375,-125.3785,2020-08-03T15:17:41,5000,2020-08-03T17:45:21,505.08,500.391,44.53748,-125.37856,4.9366,4.9365,3.28717,3.288044,34.1272,34.1374,26.786828,318.217067,-0.0051,0.0654,98.377,,,,,,,,,,,34.129513,POINT (-125.3785 44.5375),ooi.ocdi.ocdi,Cabled-11_TN382_Discrete_Summary
f8e4f1f5-b978-5fd9-ad4f-b7f73d2cf2b4.4,2020-08-03T15:17:41,0,299.772003,0,0,44.5375,-125.3785,2020-08-03T15:17:41,5000,2020-08-03T17:54:34,302.434,299.772,44.53748,-125.37858,6.2708,6.2707,3.384494,3.385412,33.9865,33.9968,76.278597,308.671078,-0.0186,0.0762,98.1134,,,,,,,,,,,33.99019,POINT (-125.3785 44.5375),ooi.ocdi.ocdi,Cabled-11_TN382_Discrete_Summary
f8e4f1f5-b978-5fd9-ad4f-b7f73d2cf2b4.5,2020-08-03T15:17:41,0,250.171005,0,0,44.5375,-125.3785,2020-08-03T15:17:41,5000,2020-08-03T17:58:16,252.362,250.171,44.53749,-125.37858,6.7197,6.7203,3.420992,3.421904,33.9703,33.9797,92.24887,305.512751,-0.025,0.0797,98.0274,,,,,,,,,,,33.973148,POINT (-125.3785 44.5375),ooi.ocdi.ocdi,Cabled-11_TN382_Discrete_Summary
f8e4f1f5-b978-5fd9-ad4f-b7f73d2cf2b4.6,2020-08-03T15:17:41,0,1001.314026,0,0,44.5375,-125.3785,2020-08-03T15:17:41,5000,2020-08-03T17:26:16,1011.925,1001.314,44.53748,-125.37856,3.7178,3.7174,3.226078,3.226893,34.4145,34.4247,13.603314,327.061008,-0.0109,0.0687,98.2981,,,,,,,,,,,34.417849,POINT (-125.3785 44.5375),ooi.ocdi.ocdi,Cabled-11_TN382_Discrete_Summary
f8e4f1f5-b978-5fd9-ad4f-b7f73d2cf2b4.7,2020-08-03T15:17:41,0,100.018997,0,0,44.5375,-125.3785,2020-08-03T15:17:41,5000,2020-08-03T18:07:34,100.858,100.019,44.53748,-125.37857,8.4669,8.4685,3.547467,3.548465,33.7091,33.7181,131.004471,294.133931,-0.025,0.0959,97.6302,,131.879989,,,,1.964625,30.166244,26.872462,0,0.000046,,POINT (-125.3785 44.5375),ooi.ocdi.ocdi,Cabled-11_TN382_Discrete_Summary
f8e4f1f5-b978-5fd9-ad4f-b7f73d2cf2b4.8,2020-08-03T15:17:41,0,50.411999,0,0,44.5375,-125.3785,2020-08-03T15:17:41,5000,2020-08-03T18:10:46,50.829,50.412,44.53748,-125.37858,8.3833,8.3828,3.454219,3.455325,32.8264,32.8386,186.194804,296.379863,0.1708,0.127,96.8751,,181.221359,,,,1.617035,20.923161,19.859181,0.09039,0.000047,,POINT (-125.3785 44.5375),ooi.ocdi.ocdi,Cabled-11_TN382_Discrete_Summary
f8e4f1f5-b978-5fd9-ad4f-b7f73d2cf2b4.9,2020-08-03T15:17:41,0,30.384001,0,0,44.5375,-125.3785,2020-08-03T15:17:41,5000,2020-08-03T18:12:55,30.633,30.384,44.53749,-125.37856,8.6727,8.6656,3.437004,3.437552,32.3874,32.3996,250.250069,295.305799,0.8016,0.2065,94.9676,,238.579334,,,,1.138892,11.775765,11.208432,0.163287,0.000048,,POINT (-125.3785 44.5375),ooi.ocdi.ocdi,Cabled-11_TN382_Discrete_Summary
f8e4f1f5-b978-5fd9-ad4f-b7f73d2cf2b4.10,2020-08-03T15:17:41,0,199.979004,0,0,44.5375,-125.3785,2020-08-03T15:17:41,5000,2020-08-03T18:01:38,201.706,199.979,44.53749,-125.37857,7.3413,7.341,3.474602,3.475543,33.9698,33.9803,99.586442,301.190148,-0.0233,0.0897,97.7833,,101.025243,,,,2.232697,43.10529,32.074324,0,0.000045,33.971385,POINT (-125.3785 44.5375),ooi.ocdi.ocdi,Cabled-11_TN382_Discrete_Summary
